period,lat,lon,expected_annual_exposure_to_hurricane_force_winds
1979_1989,39.416019,-75.1207587690425,0.00435815841079774
1979_1989,39.416019,-75.0895087690425,0.00443290522897956
1979_1989,39.416019,-75.0582587690425,0.00450765204716138
1979_1989,39.416019,-75.0270087690425,0.0045823988653432
1979_1989,39.416019,-74.9957587690425,0.0046585920574092
1979_1989,39.416019,-74.9645087690425,0.00474399596650011
1979_1989,39.416019,-74.9332587690425,0.00482939987559102
1979_1989,39.416019,-74.9020087690425,0.00491480378468193
1979_1989,39.416019,-74.8707587690425,0.00500659384631815
1979_1989,39.416019,-74.8395087690425,0.00513905184631815
1979_1989,39.416019,-74.8082587690425,0.00527150984631815
1979_1989,39.416019,-74.7770087690425,0.00540396784631814
1979_1989,39.416019,-74.7457587690425,0.00554700461760285
1979_1989,39.416019,-74.7145087690425,0.00575740852669376
1979_1989,39.416019,-74.6832587690425,0.00596781243578467
1979_1989,39.416019,-74.6520087690425,0.00617821634487558
1979_1989,39.416019,-74.6207587690425,0.00639401818427604
1979_1989,39.416019,-74.5895087690425,0.00664419482063968
1979_1989,39.416019,-74.5582587690425,0.00689437145700332
1979_1989,39.416019,-74.5270087690425,0.00714454809336695
1979_1989,39.416019,-74.4957587690425,0.00738390489613185
1979_1989,39.416019,-74.4645087690425,0.0075543594415864
1979_1989,39.416019,-74.4332587690425,0.00772481398704094
1979_1989,39.416019,-74.4020087690425,0.00789526853249549
1979_1989,39.416019,-74.3707587690425,0.00806085521822782
1979_1989,39.447269,-75.4645087690425,0.00283305013918986
1979_1989,39.447269,-75.4332587690425,0.00298840713918986
1979_1989,39.447269,-75.4020087690425,0.00314376413918987
1979_1989,39.447269,-75.3707587690425,0.0032905311319959
1979_1989,39.447269,-75.3395087690425,0.00338259572290499
1979_1989,39.447269,-75.3082587690425,0.00347466031381408
1979_1989,39.447269,-75.2770087690425,0.00356672490472317
1979_1989,39.447269,-75.2457587690425,0.00367087490637966
1979_1989,39.447269,-75.2145087690425,0.0038519865427433
1979_1989,39.447269,-75.1832587690425,0.00403309817910693
1979_1989,39.447269,-75.1520087690425,0.00421420981547057
1979_1989,39.447269,-75.1207587690425,0.00437510218676478
1979_1989,39.447269,-75.0895087690425,0.00440723536858297
1979_1989,39.447269,-75.0582587690425,0.00443936855040115
